,Tweet,following,followers,actions,is_retweet,location,Type,Unnamed: 7,Type_num
1,'@realDonaldTrump @USNavy RIP TO HEROES',42096.0,61060.0,5001.0,0.0,"South Padre Island, Texas",Spam,,1
4,#DidYouKnow ► Mahatma Gandhi made a brief visit to lecture in #Nottingham on 17 October 1931 [@MumblingNerd],17800.0,35100.0,,0.0,"Nottingham, England",Quality,,0
6,please don't talk about me like that i'm only a little tipsy,0.0,6200000.0,,1.0,"los angeles, ca",Quality,,0
22,"Need I remind everyone that the first lines you learn to say as a rapper coming up are ""I am the best""",0.0,275000.0,80.0,0.0,"Johannesburg, South Africa",Quality,,0
23,"Watch: #MonstaX Goes “#AllIn” For Their Comeback MV
http://www.soompi.com/2016/05/17/watch-monsta-x-goes-all-in-for-their-comeback-mv/ … #THECLANpic.twitter.com/c3GRbFixwt",0.0,2250000.0,,0.0,Lord Juja ❤️,Quality,,0
27,"""Remember, no effort that we make to attain something beautiful is ever lost.”- Helen Keller
 pic.twitter.com/lS3EafZgBV #RickGodwin #livebold",0.0,42600.0,24.0,0.0,San Antonio,Quality,,0
28,Ron Bakers Thoughts On WSU to the American https://t.co/2R7LQyGeyn https://t.co/XWIMXgyIi4,4990.0,25750.0,50362.0,0.0,London / World Citizen,Spam,,1
33,Illinois Legislature Rejects Bill That Would Recognize Obamas Birthday as State Holiday.  https://t.co/LN9aZempLK https://t.co/nbdDzQO4vt,76127.0,99162.0,7991.0,0.0,#BlackLivesMatter,Spam,,1
36,"Please share the PNR number, your location and contact number so that we can assist you. @Drmbhopal  Also call 138.",0.0,3760000.0,,0.0,,Quality,,0
38,From Prisoner to Professor: Felon to Teach at Georgetown Law https://t.co/Nth698CUPt https://t.co/x2zIZmPumn,13879.0,32145.0,31719.0,0.0,160511,Spam,,1
44,I’M SCREAMING  https://twitter.com/girlposts/status/731915164027637761/video/1 …,104000.0,164000.0,,0.0,"University Park, TX",Quality,,0
51,"Bob Dole, who served in World War II  and is currently in a wheel-chair, is getting the Congressional Gold  Medal from @realDonaldTrump , a draft dodger, who makes fun of people's disabilities...",29768.0,27557.0,1378.0,0.0,"Frisco, TX",Spam,,1
55,"If you don't live your life, who the phuck will?",0.0,90200000.0,,0.0,,Quality,,0
66,'@washingtonpost that way http://t.co/1zWKDKiqMi',8902.0,31006.0,7022.0,0.0,"Brighton, England",Spam,,1
67,"On this day in 1997, we beat Middlesbrough 2-0 at the old Wembley to win the FA Cup!pic.twitter.com/DU5e4TRU8z",0.0,12500000.0,,0.0,Birmingham,Quality,,0
76,I'm in love pic.twitter.com/lAyqbXXyOt,0.0,41000.0,,0.0,,Quality,,0
80,"Suddenly the Warriors many ""bad shots"" - that usually go in - are just looking like really bad shots.",,2870000.0,,0.0,Los Angeles,Quality,,0
84,"Happy Birthday to Dara's Playful and Sweet Sunbae/Dongsaeng Taeyangie ^.^/ 
#HAPPYTAEYANGDAY #HAPPYBAEBAEDAYpic.twitter.com/9N4gZTeQd4",0.0,30200.0,382.0,0.0,Malaysia,Quality,,0
86,We're currently having this issue worked on & should be resolved by tomorrow. Debs,56500.0,519000.0,,1.0,UK,Quality,,0
108,"NYT story on Trump’s history with women sparks backlash:
http://hill.cm/vCFBEkv pic.twitter.com/EPs5xbMIaT",0.0,3220000.0,20.0,0.0,"Washington, DC",Quality,,0
124,"“Whenever I went to sleep for two minutes, I was just seeing the bombing and the killing and the dead bodies” http://nyti.ms/22eLR0T",0.0,238000.0,5.0,0.0,"New York, NY",Quality,,0
145,I want pancakes right now,45200.0,678000.0,,0.0,,Quality,,0
148,Baba Hardev Singh’s youngest daughter tipped to become #Nirankari head http://read.ht/BFLC pic.twitter.com/ZsaTPqOZmg,0.0,6720000.0,52.0,0.0,India,Quality,,0
149,New Jersey man accused of choking strangers baby at store https://t.co/djNBE7VHkc #news,5170.0,25352.0,42349.0,0.0,Pakistan,Spam,,1
152,Counting down the days... @GOttaviani #DoctorWho #May23https://twitter.com/GOttaviani/status/729372777367613440 …,0.0,275000.0,16.0,0.0,Breda,Quality,,0
153,never give uppic.twitter.com/nx8zt11rHC,0.0,45500.0,111.0,0.0,Somewhere,Quality,,0
155,best way to overcome a bad weekend is work #bestteam #F1Testing #cantWaitForMonacopic.twitter.com/j1W2IN5KES,0.0,2300000.0,,0.0,Monaco,Quality,,0
161,"'@rajeneeesh unless ISIS takes blame, then they'll just do nothing'",11946.0,40289.0,12805.0,0.0,"Charleston, SC",Spam,,1
165,SBI seeks to acquire six smaller bankshttp://profit.ndtv.com/news/corporates/article-sbi-seeks-to-acquire-six-smaller-banks-1407220 …,0.0,743000.0,,0.0,India,Quality,,0
168,An investigation has been opened after suspicious bets on a #Frosinone red against #Napoli. http://www.football-italia.net/84459/figc-investigates-gori-red …pic.twitter.com/pEcwHCsIMK,0.0,170000.0,25.0,0.0,,Quality,,0
169,"#Attawapiskat Chief @bruceshisheesh presents a generous $5000 donation to support #ABfire relief. ""We want to help.""pic.twitter.com/dT11AdFvTX",20300.0,154000.0,184.0,0.0,Canada,Quality,,0
170,No filter. Photo cred mark_bauch https://www.instagram.com/p/BABNJXJyVGm/,0.0,4160000.0,,0.0,"New York, NY",Quality,,0
214,The first to apologize is always the bravest. The first to forgive is the strongest. The first to forget is the happiest.,0.0,714000.0,560.0,0.0,MS  ✈️ FL,Quality,,0
227,"@JLLIndia Study: Demand of new construction is in excess in #Bengaluru, #Pune and #Gurgaon. Demand driven by I.T. companies.",0.0,52500.0,,0.0,India,Quality,,0
242,123 GO!  #debatenight  is going to start in 20 minutes!  RT if you are sure Trump will WIN tonight!  #Debates2016 https://t.co/cfkLLmzXyh,31073.0,34658.0,4263.0,0.0,High River Alberta Canada,Spam,,1
253,#ZeeExposesJNUtraitors is trending .let's push toppic.twitter.com/sXKo4SnqGw,0.0,27700.0,85.0,0.0,"Jaipur, India",Quality,,0
