,Id,Tweet,following,followers,actions,is_retweet,location
3,3,Sorry my Twitter keeps posting my retweets a million times.,0.0,79800.0,48.0,0,
12,12,I want pancakes right now,45200.0,678000.0,,0,
16,16,VIDEO: Blippar boss: 'I was quite a rebel': Rish Mitra began his career in the slums of Delhi ... http://bbc.in/1OBAdKZ  #tweetuk #kprs,18300.0,36500.0,,0,UK Business Directory
25,25,Teen in Critical Condition After Brooklyn Hit-and-Run https://t.co/BdzsxGDmPp https://t.co/VnsZBTJnvR,9984.0,61715.0,58011.0,0,"Altoona, PA"
34,34,Write a song a day.. #thingsido,0.0,28200.0,,0,
48,48,Was wonderful to meet all of you today!https://twitter.com/mayasaryyeva/status/732571693307297792 …,0.0,1860000.0,984.0,0,Here and there.
54,54,Me at school vs. Me on the weekendspic.twitter.com/nnbSPK17LM,15800.0,29600.0,136.0,0,
55,55,5 top food events this week (and more to anticipate) https://t.co/j1RyyryCcC,7175.0,27659.0,41642.0,0,the Wild Wild West
60,60,Big doggie vs. tiny kitten https://vine.co/v/i2LwQZ5gjPU,161000.0,270000.0,,0,"West Hollywood, CA"
69,69,"That @billclinton speech in #PuertoRico felt underwhelming, felt like an old campaign event on the island from the 90s.",0.0,27900.0,,0,Boston and Harlem
89,89,jimin was wearing yoongi's boots i'm-pic.twitter.com/sD1i3Xm1gZ,0.0,95500.0,416.0,0,
96,96,Slain Florida priest had asked for mercy for his killer https://t.co/dQzRoxLTGo https://t.co/X8QnvdatY9,5951.0,60592.0,47041.0,0,天朝：星霜之下 逆势择天
110,110,Brothers get prison for homeless immigrant attack they said Trump inspired http://bit.ly/1Tlt6VQ pic.twitter.com/c37SbOtKIy,0.0,278000.0,115.0,0,NY & DC
121,121,NEWS: Jonathan Kodjia has been called up to @FIFCI_tweet squad for the first time. http://www.bcfc.co.uk/news/article/kodjia-earns-ivory-coast-call-up-3116756.aspx …pic.twitter.com/kftAIztJwG,0.0,164000.0,331.0,0,"Ashton Gate, Bristol"
125,125,WATCH: Graphic shooting captured on Facebook live prompts police probe https://t.co/i8raBQaSjs https://t.co/AelIbbniMc,17991.0,30574.0,29515.0,0,Havering
137,137,When i hear my own voice in a videopic.twitter.com/6iKgArBFSy,15800.0,29700.0,134.0,0,
151,151,Special hours,,445000.0,129.0,0,flat earth
